         338383121 function calls (321309617 primitive calls) in 477.753 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  478.136  478.136 /home/nidhal/workspace/coog/trytond/trytond/wizard/wizard.py:251(execute)
      2/1    0.000    0.000  477.904  477.904 /home/nidhal/workspace/coog/trytond/trytond/wizard/wizard.py:277(_execute)
        1    0.000    0.000  477.858  477.858 /home/nidhal/workspace/coog/trytond/trytond/modules/endorsement/wizard.py:2147(transition_apply_endorsement)
        1    0.000    0.000  477.855  477.855 /home/nidhal/workspace/coog/trytond/trytond/model/modelview.py:659(wrapper)
     61/1    0.002    0.000  477.849  477.849 /home/nidhal/workspace/coog/trytond/trytond/model/modelview.py:633(wrapper)
     34/1    0.049    0.001  477.846  477.846 /home/nidhal/workspace/coog/trytond/trytond/model/workflow.py:21(wrapper)
        1    0.001    0.001  477.837  477.837 /home/nidhal/workspace/coog/trytond/trytond/modules/endorsement/endorsement.py:1416(apply)
        1    0.000    0.000  473.069  473.069 /home/nidhal/workspace/coog/trytond/trytond/modules/endorsement/endorsement.py:1502(run_methods)
        6    0.000    0.000  473.014   78.836 /home/nidhal/workspace/coog/trytond/trytond/modules/coog_core/model.py:756(execute)
        1    0.001    0.001  462.825  462.825 /home/nidhal/workspace/coog/trytond/trytond/modules/endorsement_insurance_invoice/endorsement.py:120(rebill_after_endorsement)
        1    0.001    0.001  462.697  462.697 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/contract.py:1031(rebill)
10185449/679461    6.332    0.000  366.977    0.001 /home/nidhal/workspace/coog/trytond/trytond/model/fields/field.py:228(__get__)
1147999/372977   28.692    0.000  365.097    0.001 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1209(__getattr__)
      5/4    0.000    0.000  278.582   69.646 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurance/invoice.py:237(post)
      5/4    0.003    0.001  278.580   69.645 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/invoice.py:342(post)
      5/4    0.000    0.000  274.907   68.727 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice_logging/invoice.py:16(post)
      5/4    0.000    0.000  274.889   68.722 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice_cog/invoice.py:215(post)
      5/4    0.000    0.000  270.860   67.715 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_waiting/invoice.py:17(post)
      5/4    0.001    0.000  270.832   67.708 /home/nidhal/workspace/coog/trytond/trytond/modules/commission/invoice.py:28(post)
      5/4    0.003    0.001  261.407   65.352 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1365(post)
      170    0.005    0.000  230.064    1.353 /home/nidhal/workspace/coog/trytond/trytond/modules/piga/invoice.py:48(create_move)
      170    0.022    0.000  227.241    1.337 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice_dunning/invoice.py:29(create_move)
  1828385   23.841    0.000  222.989    0.000 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1301(instantiate)
        1    0.001    0.001  172.602  172.602 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/contract.py:777(clean_up_contract_invoices)
        1    0.000    0.000  172.227  172.227 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/contract.py:2101(cancel)
        1    0.000    0.000  172.185  172.185 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurer/account.py:67(cancel)
        1    0.000    0.000  172.158  172.158 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurance/invoice.py:282(cancel)
        1    0.000    0.000  172.136  172.136 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/invoice.py:322(cancel)
        1    0.000    0.000  168.470  168.470 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice_logging/invoice.py:29(cancel)
        1    0.000    0.000  167.728  167.728 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice_cog/invoice.py:222(cancel)
        1    0.001    0.001  163.779  163.779 /home/nidhal/workspace/coog/trytond/trytond/modules/commission/invoice.py:96(cancel)
      170    0.024    0.000  163.765    0.963 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:945(create_move)
152072/138556    0.778    0.000  159.967    0.001 /home/nidhal/workspace/coog/trytond/trytond/modules/coog_core/model.py:239(__getattr__)
        1    0.011    0.011  156.209  156.209 /home/nidhal/workspace/coog/trytond/trytond/modules/account_invoice/invoice.py:1407(cancel)
16861/15132    1.452    0.000  141.419    0.009 /home/nidhal/workspace/coog/trytond/trytond/model/modelsql.py:616(read)
10974824/8679752    4.055    0.000   88.610    0.000 {getattr}
    40105    0.305    0.000   83.449    0.002 /home/nidhal/workspace/coog/trytond/trytond/backend/postgresql/database.py:58(execute)
    12/10    0.000    0.000   79.044    7.904 /home/nidhal/workspace/coog/trytond/trytond/modules/account_aggregate/account.py:96(post)
     2266    0.854    0.000   78.379    0.035 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:867(_validate)
      170    0.010    0.000   77.244    0.454 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:384(cancel)
    12/10    0.036    0.003   76.697    7.670 /home/nidhal/workspace/coog/trytond/trytond/modules/account/move.py:402(post)
1580/1234    0.409    0.000   76.211    0.062 /home/nidhal/workspace/coog/trytond/trytond/model/modelsql.py:858(write)
  1713013   17.283    0.000   74.786    0.000 /home/nidhal/workspace/coog/trytond/trytond/transaction.py:67(get_cache)
  3410823    9.056    0.000   72.217    0.000 /home/nidhal/workspace/coog/trytond/trytond/cache.py:184(__init__)
