         334652780 function calls (317930857 primitive calls) in 499.271 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  499.673  499.673 /home/nidhal/workspace/coog/trytond/trytond/wizard/wizard.py:251(execute)
      2/1    0.000    0.000  499.432  499.432 /home/nidhal/workspace/coog/trytond/trytond/wizard/wizard.py:277(_execute)
        1    0.000    0.000  499.393  499.393 /home/nidhal/workspace/coog/trytond/trytond/modules/endorsement/wizard.py:2147(transition_apply_endorsement)
        1    0.000    0.000  499.390  499.390 /home/nidhal/workspace/coog/trytond/trytond/model/modelview.py:659(wrapper)
     61/1    0.002    0.000  499.384  499.384 /home/nidhal/workspace/coog/trytond/trytond/model/modelview.py:633(wrapper)
     34/1    0.041    0.001  499.381  499.381 /home/nidhal/workspace/coog/trytond/trytond/model/workflow.py:21(wrapper)
        1    0.001    0.001  499.371  499.371 /home/nidhal/workspace/coog/trytond/trytond/modules/endorsement/endorsement.py:1416(apply)
        1    0.002    0.002  493.215  493.215 /home/nidhal/workspace/coog/trytond/trytond/modules/endorsement/endorsement.py:1502(run_methods)
        6    0.000    0.000  493.151   82.192 /home/nidhal/workspace/coog/trytond/trytond/modules/coog_core/model.py:756(execute)
        1    0.002    0.002  480.509  480.509 /home/nidhal/workspace/coog/trytond/trytond/modules/endorsement_insurance_invoice/endorsement.py:120(rebill_after_endorsement)
        1    0.001    0.001  480.365  480.365 /home/nidhal/workspace/coog/trytond/trytond/modules/contract_insurance_invoice/contract.py:1031(rebill)
10035206/670637    6.618    0.000  383.234    0.001 /home/nidhal/workspace/coog/trytond/trytond/model/fields/field.py:228(__get__)
1130739/370255   28.692    0.000  381.456    0.001 /home/nidhal/workspace/coog/trytond/trytond/model/modelstorage.py:1209(__getattr__)
      5/4    0.000    0.000  278.004   69.501 /home/nidhal/workspace/coog/trytond/trytond/modules/commission_insurance/invoice.py:237(post)
